Task,Target,Representation,Model,Prevalence,Val_Accuracy,Test_Accuracy,Val_MacroF1,Test_MacroF1,Val_WeightedF1,Test_WeightedF1,Val_R2,Test_R2
Classification,bmi_bin,Absolute,RandomForest,0.4,0.43956043956043955,0.4175824175824176,0.26885324537274186,0.261712731204068,0.4153803054745447,0.3927019902568856,-0.5238718385355186,-0.5840456522989055
Classification,bmi_bin,Absolute,HGB,0.4,0.42857142857142855,0.42543171114599687,0.28039546231811363,0.29554324444897195,0.41341531285923383,0.410981392236064,-0.6286476575652609,-0.6466139295091706
Classification,bmi_bin,Absolute,SVM_RBF,0.4,0.47566718995290425,0.45054945054945056,0.31597854745270393,0.313479211830329,0.457431281788341,0.43596540461515454,-0.45145325773554945,-0.5336858194223508
Classification,bmi_bin,Relative,RandomForest,0.4,0.4599686028257457,0.43328100470957615,0.2824567243306353,0.27919064859819387,0.4371399242940263,0.41113239581854016,-0.5115452715908428,-0.5626808747149126
Classification,bmi_bin,Relative,HGB,0.4,0.4521193092621664,0.4772370486656201,0.315007733007733,0.34240647504939137,0.44030680930209976,0.46633527984074713,-0.5485249724248698,-0.420757709335531
Classification,bmi_bin,Relative,SVM_RBF,0.4,0.5149136577708007,0.49293563579277866,0.39568497503209316,0.38959848837782696,0.5095991176491576,0.48861254617078786,-0.408310273429185,-0.4222837648772446
