Task,Target,Representation,Model,Prevalence,Val_R2,Test_R2,Val_MAE,Test_MAE
Regression,bmi,Absolute,RandomForest,0.4,0.14743739669545675,0.1226297547853551,4.713810461736606,5.057458280039481
Regression,bmi,Absolute,HGB,0.4,0.19228720165967061,0.1530994661134698,4.496816480975154,4.996074446756081
Regression,bmi,Absolute,SVM_RBF,0.4,0.2083972306981151,0.14354658222342864,4.316359763515177,4.783257819015746
Regression,bmi,Relative,RandomForest,0.4,0.16944605571609672,0.17056690759977033,4.678106463325512,4.930062989506519
Regression,bmi,Relative,HGB,0.4,0.20723366134907584,0.18346912568146367,4.550186842621605,4.914108348675457
Regression,bmi,Relative,SVM_RBF,0.4,0.26335353296469743,0.22019072588110666,4.153648623330901,4.511720650839042
