model,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae
lgbm,0.9994974683425127,0.03714876831343906,0.027267097391593817,0.4870878343363254,1.1277678931211126,0.7727035011218459,0.6126569278466724,1.050410716038535,0.7389202463033201
hgbr,0.9495728779863857,0.3721300982047206,0.214804534878293,0.468413124497173,1.1481148949335303,0.7947198060604451,0.6122300210109997,1.0509894072009436,0.7428648414930753
rf,0.8629709285236563,0.6134357236062804,0.4410842398996145,0.4262612780030871,1.192766154123487,0.8337058684055106,0.5343201763378698,1.1517413472718934,0.8122173326997217
nn,0.9508059454478202,0.36755219052646504,0.2610202636006932,0.40604337293438275,1.2136000688648871,0.868263730845332,0.5004828458087727,1.1928516918503167,0.8412724719288186
bst,-0.01103543999282075,687166894092.5249,71791638497.29384,-0.007506820804091596,1449197707812.7876,125092613295.83156,-0.012506087152142742,560625726310.454,62306725403.97568
