,R2 Raw,RMSE Raw,MAE Raw,R2 BC,RMSE BC,MAE BC,Spearman r,MLE
Train,0.9827020676765841,89882705290.71428,4571392958.054657,0.9828319640061501,89544588725.03374,4539764761.736228,0.9996625160473522,0.007741088160441341
Val,0.11667345463632461,1356951363921.2524,110310369321.42015,0.20296076162677612,1288972025857.3577,117103051048.70885,0.6256518367774061,0.29483333367931663
Test,0.1579936295301777,511248315718.3098,46692818196.28995,0.2649969994811151,477659871657.5105,48445310486.62998,0.6779790986966376,0.30557830207623315
