Model,Split,R2,RMSE,MAE
XGBoost,Train,0.9994748809293071,0.03797445953803691,0.025255436480769076
XGBoost,Val,0.5147924776556252,1.0968872513422825,0.75657905860437
XGBoost,Test,0.6394547622374086,1.0134238693247914,0.7186544834306934
